tile_X_Y,image_fname,label_fname,class_name,xabs,yabs,width,height
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedcommercialbuilding,354.0,384.0,432.0,478.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedcommercialbuilding,434.0,458.0,511.0,511.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedcommercialbuilding,357.0,254.0,472.0,321.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,371.0,304.0,478.0,355.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,257.0,155.0,344.0,264.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,276.0,260.0,339.0,347.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedcommercialbuilding,268.0,35.0,409.0,124.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,305.0,134.0,348.0,175.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,344.0,114.0,423.0,170.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedresidentialbuilding,447.0,81.0,511.0,132.0
tile_0_12,post\img\tile_0_12.jpg,post\label\tile_0_12.json,undamagedcommercialbuilding,449.0,0.0,511.0,76.0
tile_0_121,post\img\tile_0_121.jpg,post\label\tile_0_121.json,damagedcommercialbuilding,167.0,308.0,217.0,364.0
tile_0_121,post\img\tile_0_121.jpg,post\label\tile_0_121.json,damagedcommercialbuilding,0.0,372.0,36.0,423.0
tile_0_14,post\img\tile_0_14.jpg,post\label\tile_0_14.json,undamagedcommercialbuilding,416.0,96.0,470.0,164.0
tile_0_14,post\img\tile_0_14.jpg,post\label\tile_0_14.json,undamagedcommercialbuilding,387.0,147.0,443.0,207.0
